date,adj_close,close,high,low,open,volume,return,volatility,regime,mkt_rf,smb,hml,rf,mom
1993-02-12,24.603485107421875,44.59375,44.875,44.59375,44.875,42500,-0.0076495132127955,0.0057256601705303,1,-0.0060999999999999,0.0016,0.0032,0.0001,-0.0009
1993-02-16,23.98278045654297,43.46875,44.46875,43.40625,44.46875,374800,-0.0252277505255781,0.0098501582656946,0,-0.027,-0.0070999999999999,0.0089,0.0001,0.0005
1993-02-17,23.96554946899414,43.4375,43.53125,43.28125,43.46875,210900,-0.0007189072609633,0.0097673138315011,0,-0.0042,-0.0076,0.0058,0.0001,-0.0034
1993-02-18,23.94830894470215,43.40625,43.9375,42.8125,43.9375,378100,-0.0007194244604316,0.0087498169576812,0,-0.0017,0.0069999999999999,-0.0001,0.0001,0.0088
1993-02-19,24.03451156616211,43.5625,43.5625,43.34375,43.40625,34900,0.0035997120230382,0.0086971960999585,0,0.0040999999999999,-0.0014,0.0153,0.0001,0.0138
1993-02-22,24.120710372924805,43.71875,43.78125,43.5625,43.6875,513600,0.0035868005738881,0.0089366874199651,0,-0.0016,-0.0124,0.0213,0.0001,0.009
1993-02-23,24.10347557067871,43.6875,43.875,43.46875,43.84375,373700,-0.0007147962830593,0.008914824464881,0,-0.0006,-0.0004,-0.0048,0.0001,-0.0081
1993-02-24,24.413818359375,44.25,44.25,43.71875,43.71875,26300,0.0128755364806867,0.010035827573914,0,0.0141999999999999,-0.0059,-0.0112,0.0001,-0.0003
1993-02-25,24.465564727783203,44.34375,44.375,44.125,44.21875,44500,0.0021186440677967,0.0100564325104862,0,0.0042,0.0017,0.0004,0.0001,0.0025
1993-02-26,24.50002098083496,44.40625,44.4375,44.1875,44.4375,66200,0.0014094432699083,0.0098966297596501,0,0.0029,0.0055,-0.0040999999999999,0.0001,0.0009
1993-03-01,24.431058883666992,44.28125,44.5625,44.21875,44.5625,66500,-0.0028149190710766,0.0096587479669757,0,-0.0014,0.0022,0.0007,0.0001,-0.0003
1993-03-02,24.79314422607422,44.9375,44.9375,44.25,44.3125,182400,0.014820042342978,0.0059192982682286,1,0.0118,-0.0056999999999999,-0.0042,0.0001,0.0023
